书名,出版信息,评价人数,用户名,评论内容,序号,ai_prob,human_prob,conclusion
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,Shenmo20462025-12-09 00:08:05浙江,人们总是高估余华，而低估刘震云。,1,0.026056308299303055,0.9739436507225037,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,Oliver Twist2025-12-02 12:56:09江西,跟另一位知名男作家的新小说一起面世的。高下立判。4.5分,2,0.1686781644821167,0.8313217759132385,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,Citrus2025-12-07 19:36:13北京,刘震云老师的作品，除却一句顶一万句，大都维持在统一水准，不会很低，但也难高，永远差一口气。近来知名的作家总想写当下，写现代事现代人，但写出来又让人觉得那些事件已然落伍，21克的灵魂，出走半生的少年，互联网大v的口水战，怒开公交车回自己家的女儿，这些新闻虽在发生，却也变成渣滓了，总想写总想缝合，在故事里就突兀，让人觉得延津这个世界旧里翻新，既不属于过去也不属于现代，跳戏严重。文化人在时代中站上浪尖，也在乌合之众的唾沫里溃不成军，人性之恶这一主题其实用不上470页，若写这个篇幅，前面铺的力度就要足够，结尾生活的巴掌才响，现在结尾并不唏嘘，像作文为了收尾，非常急促给了个转折和结局。最后小说不像小说，议论文又不像议论文，推成大人性反不如以前踏踏实实写小人生里的针尖恶。真的，别老想总结。,3,0.04014979302883148,0.9598501920700073,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,哥德堡2025-12-06 20:07:19北京,卢克明那本滚蛋书用了我两个小时。这本书用了我两天，也是舒服的。又不一样，那个是短视频，这个是长文章。刘老师对生活的描述很好，让我一次又一次的思考我的生活。特别是被家庭困在北京的现在，这不合逻辑也让我不喜欢，只因为老婆孩子在。化繁为简吧，对得起自己和母亲。母亲是那个面对我的困境落泪的人。生活是我来过的。,4,0.017466126009821892,0.982533872127533,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,我会变螃蟹2025-12-09 15:30:03河北,本来可以给5星，但是新书就有印刷错误，398页是让秦东峰进去，给印成让杜太白进去了,5,0.015772216022014618,0.9842277765274048,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,天亮天黑2026-01-04 20:00:54北京,我最喜欢的是书中最后五页的「正文二」的故事，开了河南菜馆知味社的老夫少妻，不知道是不是杜太白和春芽。希望是。,6,0.012581910006701946,0.9874180555343628,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,果V2025-12-10 22:22:38江苏,高考状元还是要比牙医强那么一些的，强就强在每部作品发挥稳定，起伏比较小。,7,0.029749564826488495,0.9702504873275757,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,波豆豆2025-12-11 14:58:12天津,在冬天装死，在春天复活。,8,0.046357426792383194,0.9536425471305847,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,斯坦利2025-12-05 23:26:37山东,比华子强，我个人对刘震云“车轱辘话”式的写作方式很喜欢，可能是因为我本人的日常讲述也是如此。而且，还有我大济南的彩蛋。,9,0.020283564925193787,0.9797163605690002,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,Fisher QC2025-12-06 19:26:04北京,一句顶一万句讲的是，你一言我一语，咱俩有话说。咸的玩笑讲的是，你总有过不去的坎儿，尤其是逻辑颠倒的坎儿，这个坎儿怎么看都是个玩笑，但让你哭，让你没法活，这是生活开的玩笑。我的眼中为什么常含泪水，因为这玩笑开得过分。另外，多少有刘老师跟小崔纷争的影子，有些心路历程是否也是刘老师通过写作进行的心理疗愈。,10,0.5604768991470337,0.4395231604576111,AI生成
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,ifish2025-12-10 22:39:02贵州,故事和写法都比较老套，插入的魔幻现实成分有些突兀，而且在398页出现了人名弄错的现象，望编校部悉知！,11,0.8144677877426147,0.18553215265274048,AI生成
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,朱弦遇青眼2025-12-21 15:56:18安徽,"好看啊！人这一辈子就是想找一个志同道合的人说说话呀
读完于南京先锋书店",12,0.016818858683109283,0.9831811785697937,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,即食大脑切片2025-12-14 18:37:18河南,人民文学出版社不会设计就滚犊子，封面印的人名难看得要死，好歹换个字体不要显得突兀，免费字体用上瘾了？里面排版字又小又密，糟蹋文学不是随便说说。,13,0.6336046457290649,0.36639535427093506,AI生成
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,澍湚2026-01-13 22:24:07广东,"刘震云～咸的笑话
阅读的感受相当割裂，在涉及到主角与乡里乡亲的关系上，仍然是刘震云一如既往的高水准，极具洞察力，一旦涉及到男女之间的关系，这本书就立马沦为中老年男作家的意淫之作，全书最精华的部分就在开头，和尚的故事是最精彩的",14,0.024679550901055336,0.9753203988075256,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,闲事欠安2026-01-12 00:35:56山东,读男书慎重，我得把这几个字刻在课桌上,15,0.752007246017456,0.24799269437789917,AI生成
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,大贵2025-12-31 09:36:01上海,已经很难透过登味看本质了,16,0.03708481416106224,0.9629151821136475,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,格雷斯金2025-12-28 23:28:47上海,是有一些金句，但整体来说不喜欢这个人物和故事，还是偏“登”了一些。,17,0.018630169332027435,0.9813698530197144,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,氢气有毒2025-12-25 04:12:13中国香港,互联网的发展把刘震云都荼毒成啥样了整本书俗得下三滥烂句频出故事性却为0，封底的洋人看完此书都得引爆第三次世界大战只为要求出版社删除自己的言论并收回给其颁发的所有荣誉。,18,0.012216012924909592,0.9877839684486389,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,En2025-12-15 09:56:17北京,从昨天到今早，一口气读完，年度最好的原创文学了。刘震云这几年的作品虽然在写作主题上略显重复，但每一本都有滋有味的。从《手机》开始，到《一句顶一万句》，再到《一日三秋》，最后到《咸的玩笑》，刘也算构建起了自己的说话宇宙，公共谈话—喷空—笑话—闲话，这一路走下来，越来越扎进泥土里，越来越质朴简单，越来越清晰明了：如果说早期刘还在追求精神救赎，寻找摩西，那么到了现在就是把日子过得简单、质朴、归真，用幽默容纳孤独了。生活其实很简单，多是人心将其复杂化了，正如结尾猪猪说的：“世界本来很简单，一加入你们的人心，就变得复杂了。凡是把简单变成复杂的人，都居心叵测；唯一的活扣，是把复杂变回简单；但是，把简单变复杂容易，把复杂变回简单，就没有那么简单了。”何以解扣，怕唯有笑话了哈哈。,19,0.10431969910860062,0.8956803679466248,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,河边撒大尿2026-01-20 00:09:01四川,看到杜太白最后在泰安开了个小饭馆，和春芽过到了一块儿还生了个孩子叫悉尼，我满意地笑了。刘震云没让人失望。晚安人类。[心],20,0.017522325739264488,0.9824777245521545,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,努力学习的某喵2026-01-30 23:37:20北京,比《红票》更像破案，更有针对性，所以别看剧透。和《红票》一样，跋一定要看，是核心。这本书的阅读体验，更多是看到历史另一种面貌的冲击和唏嘘不已，通过很少被使用的材料，呈现不太一样的人物和事件，看到被虚构的历史掩盖、篡改的东西，发现原来历史还有其他的可能性。前言看完有点起鸡皮疙瘩。第二章看完感觉被胖揍了一顿。第五章后半和第六章前半绕远了点，节奏有点可惜。第七章结尾的小插曲，读完怅然若失，冒出很多思绪但不知道哪种占了上风。也许这就是历史独特的魅力，总会有费尽心思、多管齐下自我美化的人，也会有以卵击石、决不妥协配合虚构的人，更会有机缘巧合、出乎意料留下痕迹的人。感谢《北京纪事》撕开的裂缝，这个难得窥见的历史一角，我们可以拿回已经习惯于“外包”给“正史”的信任，自己做一回主观判断。,21,0.0911053717136383,0.9088945984840393,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,safin2026-02-02 22:22:45北京,读过之后有很多感触，尤其是最后老十四那一段，如鲠在喉。但让我写下这段短评的，却是短评区那个打了一星的momo，他/她对待这本著作的打分、态度、使用的修辞，恰恰是这本书所钩沉出的那个阴暗人性的写照：一种纯粹的恶意。,22,0.031237227842211723,0.9687627553939819,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,五月阿隆2026-02-01 21:02:03北京,"吕博曾经表达过“唐史毁于墓志”，意思在于对于新材料的盲目追求和运用时同质化写作，新材料和旧材料之间完全割裂对历史问题研究的推进几乎起到了反面作用，增加的只是对于人物和历史事件单薄而不成体系的新假说。在读这本之前，我也很怕孙老师用传教士文献做的是这样的工作。
实际上，多罗和纪理安《北京纪事》中可以直接和太子、立储问题相关的信息也不过几篇墓志所含的信息量，在第四章后《北京纪事》基本就罕有出现，而是作为引子勾连起了约翰贝尔的游记、不同传教士的记忆、文人笔记以及之前讨论这一问题常见的满汉材料。这种丝丝入扣的文献爬疏也并没有损害故事的完整与流畅度，新材料为老材料提供了新意思，可谓是螺蛳壳里做道场。
ps：其实关于“虚构”，第七章开始对于允禵“驱准保藏”时与和硕特蒙古的合作也可以成为一种“典范”。",23,0.019332371652126312,0.9806675910949707,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,南星客2025-12-10 09:50:52北京,书号来了,24,0.06537044793367386,0.9346295595169067,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,贝里席公爵2026-01-21 08:29:49江苏,作为《雍正王朝》的铁粉，光看目录就狂喜不已。2月4日已读完，内容非常精彩，脑洞略大，但编校质量对不起中华书局的名号扣一星。,25,0.7657891511917114,0.23421087861061096,AI生成
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,Cambrian2026-02-09 01:22:29上海,现在的历史写作，基本功都这么差，只想搞大新闻，真是很头大。本身这点传教士材料，好好爬梳是没问题的。硬伤也太多了,26,0.2775997519493103,0.7224001884460449,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,蔓2026-02-08 20:32:55安徽,这本书可能是个有趣的例子，显示出并非所有历史学博士在拿到学位后都能成为合格的学者。红票固然并非完美，但至少作为学术/准学术畅销书是够格的。然而，一旦成书内容的基础脱离了导师和committee的把关，事情可能就是另一番样子了。看过《北京纪事》的人不难发现作者对其中内容的歪曲、误读和断章取义。纪理安本人要是看了这本《真事隐》，说不定都要大吃一惊。此外，这本书还暴露出了作者严重不足的制度和政治常识、古代文献阅读理解能力，以及贫乏得可怕的古籍阅读量。过年前看到这样一本“惊人”的书，不是惊喜而是惊吓。,27,0.9960377216339111,0.003962247166782618,AI生成
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,Raven2026-02-04 16:14:05英国,有点后悔买，和《红票》的水准相差甚远（尽管红票也有很多错误），我还不如期待一下橘炫雅的新书，起码橘有点新活……,28,0.10878968238830566,0.8912103176116943,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,momo2026-02-02 20:22:02山东,上一本康熙的红票史料引用就错误百出，这一本更是暴漏出作者水平实在很烂，整本书都是牵强附会的结论，史料引用完全不考证错对，离谱到以至于很好笑的程度，内容全部抄袭很久以前的老古董，蹭着红楼梦的热度实则内容都是拾人牙慧没有任何和史料价值有关的东西，可以说孙立天已经离人很远，离神很近了。,29,0.02137409895658493,0.9786258935928345,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,好词好句好段2026-02-05 02:57:12辽宁,登月碰瓷红楼梦,30,0.099326491355896,0.900673508644104,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,爱历史的老丁2026-01-31 08:17:43北京,"6小时22分速通《真事隐：康熙废储与正史虚构》。
简单说几个最大的感触
第一，第三方视角，尤其是西方观察者书写非常重要，不但晚清史需要广泛运用，明清（前中期）也很重要。但西方观察的一个特点就是注重当下即时性感悟，较少对历史长时段认知，许多归因往往过于简单，而且多会进行比附，用西方文化与历史去解释中国。因此，对于西方观察者的记录，应该多方印证，尽量避免进入任何一方的叙述陷阱。
第二，历史的偶然性与总体趋势并行不悖，不能过于偏颇一方。
第三，叙述尽可能按照时间顺序或时间轴搭配逻辑顺序，这样读起来更加顺畅。
第四，历史是不断筛选后的结果，但历史学者的本职就是求真。所有历史书写都不可避免存在主观性，但历史书写不应该充满主观性。历史写作也有职业道德，概而言之最重要的是良心",31,0.9882630705833435,0.011736921966075897,AI生成
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,dyfghug2026-02-03 21:04:58浙江,"很难想象，这是中华书局出品，各种史料歪曲误读也就算了

“康熙之死”中有一段——“其中，弘曙是皇七子允祐的长子，弘智是皇五子允祺第二子，弘曦是废太子第二子。”

竟然连人都会搞错！！！大脑一个死机，还以为是满文原折翻译问题，然后一查

康熙朝满文朱批奏折全译117页

查得，和硕诚亲王之次子弘曦阿哥，系庶福晋所生，和硕恒亲王之次子弘智阿哥，系侧福晋所生，多罗淳郡王次子弘晫阿哥，系侧福晋所生，今此三阿哥娶妻，既然弘智阿哥、弘晫阿哥俱由侧福晋所生，照贝勒尚未分之子办理外，弘曦阿哥既为庶福晋所生，以何等级办理情形……

不是审核在干什么，校对在干什么？犯这么低级的错误！人家太子的儿子是弘晳，此“弘曦”非彼“弘晳”啊！弘曦是人三阿哥胤祉的儿子😓

我想这书什么质量不用多说了，这么基本的东西都能出错",32,0.014525992795825005,0.9854739904403687,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,宫崎镇定2026-02-01 21:23:02辽宁,读完《康熙的红票》之后就有这个疑问，为什么传教士不押宝老四，就因为他是佛教徒吗？但传教士身怀绝技，又不只是宗教一事。读之前大体就猜到结论了，但读完还是一声叹息。发生过什么可能永远无法得知，但确如孟森所说，雍正虽然得位有疑问，但从结果来看这个皇帝做得很好。真真假假可能就这样了，流畅度稍逊前书，读完颇觉emo。,33,0.9916502237319946,0.008349806070327759,AI生成
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,竹圃2026-02-04 22:30:21山东,本书既非对雍正得位正否的重审定谳，亦非对《北京纪事》的纯粹剖析（该资料更像是全书的引子），而是更关注清初储位之争的历史是怎么被“操作”出来的，算是“档案中的虚构”之一例。老四污蔑诸兄弟的话术十分匮乏，毁谤之后必加一句“此人所共知也”，实在难绷。惟老四百计千算，仍不免在历史缝隙中漏出马脚。本书绝少“定论”，反使余味更浓，确实是很有趣的作品。,34,0.9572847485542297,0.04271523654460907,AI生成
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,Agora Chambers2026-02-02 22:33:54北京,这书最动人的是对话感，是唤醒了的过去与读者间的联系，是在历史意识中书写对历史的书写。譬如北京纪事老神父对其书写的预期，与本书作者运用这材料时心中浮现的对这预期的回应；康雍二帝行事时对后世评价的预期，为了改变此评价所采取的行动，以及今日作者为了破解种种策略而回溯此种观念的书写。史料的开新倒是其次，比较与勘伪也是史家寻常，深入历史情景中又带出的历史感，由此衍生的苍凉与淡淡的希望真是让人迷醉。,35,0.5371708869934082,0.462829053401947,AI生成
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,冷公2026-02-14 22:56:22浙江,一气读完，洗净《雍正王朝》遗毒，痛快。当然，对现代人来说，谁应该当皇帝无关紧要，《雍正王朝》最大的问题在于鼓吹做听话的奴才。,36,0.08353561162948608,0.9164643287658691,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,一只废鼠2026-02-07 16:35:38陕西,全书暗示性过强而推测部分居多且过于主观，比康熙的红票不知差了多少。虽谕天下“索额图诚本朝第一罪人也”多有好好的汉子被带坏的意思，但将其覆灭及会饮案全数怪罪于私德问题未免也太过儿戏，将二废太子定性为康熙觉得太子喝多伤了脑子则更是离谱。且群臣在一废后集体推举皇八子，称康熙因“武”不足而不做考虑，难道就没有一丝对群臣意见一致且与皇帝意图不同所带来对权力根基被动摇的恐惧和忧心吗？而以此作为证据继续之后的论述便没有价值。唯一值得称道的地方是能够更深刻地理解年为何对雍正如此态度，确实是康熙朝得宠忘记了一朝天子一朝臣。另：看短评有人认为“武”在翻译中不完全指武力还可能是性格，而弘曦被写成废太子的儿子，更令人对本书推测的严谨性打出问号。,37,0.015850134193897247,0.9841498732566833,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,低糖微涩2026-02-04 00:37:10北京,"根据《北京纪事》，作者主要揭秘了（1）九子夺嫡的始作俑者，及相关事件反映的皇子、大臣之间的关系（这与以往的公认相悖）；（2)康熙曾明确表达过的立嗣标准（这从不为后人所知）。由此进一步论证了雍正虚构历史叙述。
康熙是皇帝，更是父亲；废储之事，是国事，更是其家事。顺着作者的论述，康熙作为一个有情有义的人君与人父的形象油然而生（比如第五章讲康熙视高士奇为知音，往来书信读起来真切地让我动容）。
在跋中，作者重新分析了“历史”的语义，讨论了原始记录、历史叙述和读者三者之间的关系。读罢，我相信，当作者读到某些对其著作先入为主的否定时，或许也会一笑了之，因为理解与误解向来充斥于立言者的历史。
同《康熙的红票》一样，我深为作者的务实而感动，无论是在本书所勾勒的历史中还是现世中，这都不可谓不是一种稀缺品质。",38,0.9714680314064026,0.028532003983855247,AI生成
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,青阳2026-02-05 22:57:52江苏,这本书的落脚其实不在“康熙废储”，而在于“虚构历史”，作者在跋中说，历史是被选择书写的过去。在百年之前，书写，记录，已然是一种权利，但选择，则是一种更加隐蔽而强大的权利。作者说，在西方，没有中国这样的史官传统，因此也没有“正史”这个词，因而英文中将正史翻译为“official history”。在我看来，这个英文似乎更好地解释了正史的含义，也在某种程度上将其权威解构。长久以来，人们习惯将信任外包给“正史”，但其实人不应该不问缘由对任何来源的信息交付十分的信任。对信息的渴求代表了人类的好奇心与求知欲，对信息的审慎则代表了人类的思考与对真相的尊重。在今时今日，书写记录已经是人人可及的权利，但人们真的距离真相更近了吗？ 真事隐，假语存，永远是历史无法回避的注脚，是后人无可奈何的叹息。,39,0.3255210816860199,0.6744788885116577,人类撰写
真事隐,作者:孙立天出版社:中华书局出版年:2026-2ISBN:9787101175950页数:476装帧:精装定价:78.00,1005,变成风筝的内裤2026-02-04 21:20:10上海,"3.5 有点失望岁月致麻的部分不多
依旧是结局和跋升华的一本
坚定的雍正黑！",40,0.01180614810436964,0.9881938695907593,人类撰写
凯罗斯,作者:[德] 燕妮·埃彭贝克译者:李佳川出版社:云南人民出版社出品方:理想国出版年:2026-1ISBN:9787222244214页数:392装帧:平装定价:69.00元原作名:KAIROS丛书:理想国：燕妮·埃彭贝克作品,634,滑滑滑滑滑滑酱2025-12-31 10:33:36北京,"4.8分。埃彭贝克我的姐你这么写是怕我活得太长是吗······（不是）怎么可以文字站得这么近！！情感直接在身体里响起来了，告诉我我不是唯一一个读着读着就要""I need fresh air!!!“的人好吗！！卡塔琳娜████的时候我头晕得比她还厉害……还有██████和汉斯████她的时候，姐你写得毒啊（跪地）读完头嗡嗡的，就好像在别人身体里过了一辈子。",41,0.02055382914841175,0.9794461727142334,人类撰写
凯罗斯,作者:[德] 燕妮·埃彭贝克译者:李佳川出版社:云南人民出版社出品方:理想国出版年:2026-1ISBN:9787222244214页数:392装帧:平装定价:69.00元原作名:KAIROS丛书:理想国：燕妮·埃彭贝克作品,634,哦2026-01-07 14:01:57北京,#当你在情感层面，在私人关系中体验政治如何运作# 一切都太熟悉：以羞辱，以剥夺，以贬低，以冷漠，以无休止的忠诚度测试；以顺从，以迎合，以自欺，以自我抹除……历史把人磨成相似的残片，可为什么，总是承受更多压制和剥夺的人，被要求承担更高的道德责任，做出更严苛的自我反思？,42,0.990487277507782,0.009512681514024734,AI生成
凯罗斯,作者:[德] 燕妮·埃彭贝克译者:李佳川出版社:云南人民出版社出品方:理想国出版年:2026-1ISBN:9787222244214页数:392装帧:平装定价:69.00元原作名:KAIROS丛书:理想国：燕妮·埃彭贝克作品,634,土星记事2026-01-05 15:18:50海南,燕妮·埃彭贝克的语言在极其深邃的心灵层面运作，她描摹爱欲与政治如何秘密分食着个体的激情、虚空与挫败，而个人却将其视为性情、机遇或命运，直到那透明的力量抽空人们的血肉和灵魂，喂养了名为“历史”的神话，关于世界和自身的真相才渐渐趋近于完整。,43,0.9534569978713989,0.04654300957918167,AI生成
凯罗斯,作者:[德] 燕妮·埃彭贝克译者:李佳川出版社:云南人民出版社出品方:理想国出版年:2026-1ISBN:9787222244214页数:392装帧:平装定价:69.00元原作名:KAIROS丛书:理想国：燕妮·埃彭贝克作品,634,等待野蛮人2026-01-06 14:32:48北京,卡塔琳娜生活在一个情感世界之中，小说有大量内容描写她的私人生活，然而，政治总是侵入她的生活，政治的底噪是爱的不和谐音，这是一个普通人在政治世界下的生活，关于爱与政治的关系隐喻，每个国家的大多数民众都是过好自己的生活，他们不是政治人，他们是生活中的人，但政治世界总是辐射进来，爱如何抵抗政治呢？从小说时间看，在小说时间结构中没有时间的流逝感，尽管不乏时间标记，但小说的时间结构指出“个体/私人生活是在一个永恒中”，我们在事件中在生活中，唯独不试图在时间中。,44,0.06142466887831688,0.9385753273963928,人类撰写
