序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,295404685120,1882954643,不会取名的大包子,6,男,虽然我不会买苹果的东西，但我确实想去苹果上班，外企是真把人当人,2026-03-13 23:52:43,35,557,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
2,292991594833,295411440688,1882954643,不会取名的大包子,6,男,回复 @愛松下Panasonic :总结真就是哪都比本地好了，日企属于符合刻板印象了,2026-03-14 01:36:35,0,38,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
3,293071951777,295496687568,1882954643,不会取名的大包子,6,男,回复 @在这个学校所有的食堂 :看到你这句话我是真绷不住了，太对了,2026-03-14 15:05:58,0,23,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
4,295404685120,293090176001,91454468,横跨三国,6,保密,可惜现在外企岗位少,2026-03-14 18:30:05,0,6,,广东,否,https://i2.hdslb.com/bfs/face/6acf7bc14516eed4bddb5a1f81fd413f2df7a367.jpg
5,295404685120,295530666336,408642943,开心小哈巴,6,男,国内也就生活类的国企好，像电力水利什么的，但很难进，大厂工资高但是加班也狠,2026-03-15 01:52:03,0,11,爱小檀,江苏,是,https://i1.hdslb.com/bfs/face/3f5c6c0f5775584fa632723af094b599afdff9d4.webp
6,295404685120,295531083712,408642943,开心小哈巴,6,男,外企在国内通常会比在本国要轻巧不少，我有亲戚在美国上班，该熬夜加班还是得干，所以我觉得可以进国内大企业走海外，要不就是进国内外企,2026-03-15 01:57:15,0,224,爱小檀,江苏,是,https://i1.hdslb.com/bfs/face/3f5c6c0f5775584fa632723af094b599afdff9d4.webp
7,295531083712,295532048704,1882954643,不会取名的大包子,6,男,回复 @开心小哈巴 :非常同意,2026-03-15 02:08:25,0,1,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
8,295411440688,293191167569,426326450,还是积极性太高了,6,保密,回复 @不会取名的大包子 :就我在松下空调打了两年螺丝的经验而言 日企就很像一些国企 墨守成规一成不变,2026-03-15 16:32:57,0,13,无,广东,否,https://i2.hdslb.com/bfs/face/9a75632d9f20bde100d19e16294812949fd170cd.jpg
9,293191167569,295622892176,1882954643,不会取名的大包子,6,男,回复 @还是积极性太高了 :排除日企，日企也属于是符合刻板印象了,2026-03-15 16:34:36,0,11,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
10,295411440688,295649142080,220404201,Fareyewell,6,保密,回复 @不会取名的大包子 :毕竟社畜起源地嘛[笑哭],2026-03-16 03:10:39,0,13,,广东,是,https://i0.hdslb.com/bfs/face/3308dbac3f78e7d9cf439cea7bd4aebdd54b5829.jpg
11,293191167569,293274754465,407326681,田中雫,6,保密,回复 @还是积极性太高了 :我之前在索尼干，后面跳槽进了一家美企才发现索尼待遇实在太拉了[花丸晴琉_无语],2026-03-16 15:04:06,0,11,前漢化組漫画嵌字と搬運工~教主激推人，喜欢旅游！,上海,是,https://i1.hdslb.com/bfs/face/e63eb07b12f0ac7a6547f6d8f236aedd419aab57.jpg
12,295404685120,295724088864,3493088922175618,Qwezry,5,保密,所以外企肯定不会把人骗到国外再开除吧？,2026-03-16 16:31:28,0,6,,河北,是,https://i1.hdslb.com/bfs/face/a028943b179a905ce43336e3d497b1d34d7b30b7.jpg
13,295724088864,295729938720,1882954643,不会取名的大包子,6,男,回复 @Qwezry :说得好像国内不骗你自愿离职不给补偿一样,2026-03-16 18:10:34,0,6,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
14,293071951777,295820787504,43723039,flornmina,6,男,回复 @在这个学校所有的食堂 :五千年奴隶制没资本两百年害死的人多[笑哭],2026-03-17 15:37:57,0,0,。,湖北,是,https://i1.hdslb.com/bfs/face/8fd23382dda886ba1cd09eca4d0d03021aecf304.jpg
15,295820787504,293382747233,1614317079,嘘嘘wan,5,保密,回复 @flornmina :你真统计过吗？,2026-03-17 18:42:04,0,2,,广东,否,https://i0.hdslb.com/bfs/face/7e72c58637ff26df68fb30939de078d2bbbfcdbe.jpg
16,295404685120,295836024832,98842245,字节符,6,保密,外企的特点就是少招长用 能不当人吗[笑哭],2026-03-17 21:12:20,0,0,复制粘贴是一种艺术,广东,否,https://i0.hdslb.com/bfs/face/9eba9b91673a0822868316b2cea90bca241902e7.jpg
17,295404685120,293395891921,3546378219293257,Alloa,4,保密,你可以去华为，反正事苹果对手，想必待遇肯定不差啊,2026-03-18 02:01:20,0,3,一道通时定冬季,广东,否,https://i1.hdslb.com/bfs/face/738901dc0006c6874d3699564ea79b1882ed94e1.jpg
18,293395891921,295854193408,1882954643,不会取名的大包子,6,男,回复 @Alloa :说实话，如果话题到了华为身上，那我不发表任何观点,2026-03-18 03:24:27,0,1,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
19,295729938720,295864381888,3493088922175618,Qwezry,5,保密,回复 @不会取名的大包子 : 所以还那样吗？所以你是认为资本家有良心吗？,2026-03-18 05:10:04,0,0,,河北,是,https://i1.hdslb.com/bfs/face/a028943b179a905ce43336e3d497b1d34d7b30b7.jpg
20,295729938720,295864480592,3493088922175618,Qwezry,5,保密,回复 @不会取名的大包子 : 还有你是认为资本家有良心吗？,2026-03-18 05:10:13,0,0,,河北,是,https://i1.hdslb.com/bfs/face/a028943b179a905ce43336e3d497b1d34d7b30b7.jpg
21,295404685120,293454301313,3546590272817281,今宵久醒,5,男,那你为什么没去？苹果的对员工的要求很高吗？为什么不放低对岗位的要求？[思考],2026-03-18 14:02:40,0,1,新年快乐，元宵快乐，祝你每天都快乐ヾ(･ω･。),湖北,否,https://i1.hdslb.com/bfs/face/ab6fca155e7392deb1eb301b2a7e6b0f89669f54.jpg
22,293454301313,295937987136,1882954643,不会取名的大包子,6,男,回复 @今宵久醒 :岗位少，苹果招人少，并且招进去了就很少换人,2026-03-18 21:06:28,0,0,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
23,295404685120,295973625088,1685160616,PLLLLLLLLLLLUTO,5,保密,你说得对，但是后者和前者相比不是一个难度,2026-03-19 06:44:05,0,0,有缘再见,江苏,是,https://i1.hdslb.com/bfs/face/a9abe9b5e40fed3cc95f5eba48783faf96c01e09.jpg
24,295404685120,296001858304,173820846,YukinoshitaFF,6,保密,外企一个是吃学历，第二个吃风口，现在制造业外企待遇早就没有以前吃香了,2026-03-19 12:13:50,0,1,,安徽,是,https://i0.hdslb.com/bfs/face/ce3af005124742289916464d7eec5b1f3ac85db1.jpg
25,296001858304,296024751040,1882954643,不会取名的大包子,6,男,回复 @YukinoshitaFF :没以前吃香，但比国内像人,2026-03-19 16:01:25,0,2,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
26,295404685120,296219954368,323635839,仿生人不会涮电子羊,6,保密,还不是因为对外企管的更严所以外企更遵守相关法律，待遇也就更好,2026-03-21 12:31:57,0,0,(｡･ω･｡)ﾉ ok,辽宁,否,https://i0.hdslb.com/bfs/face/def8dd65bcd6b759784e7f963d45bc732bc8adb6.jpg
27,296219954368,296221762896,1882954643,不会取名的大包子,6,男,回复 @仿生人不会涮电子羊 :对啊，但原因并不重要，结果就是外企待遇普遍比国企好,2026-03-21 12:46:35,0,0,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
28,295404685120,293810606417,3461579462936872,英国大龙虾,5,保密,外企在他们本土可能比996都凶，比如OpenAI的工程师，可以看看whynottv,2026-03-22 04:49:17,0,0,,浙江,否,https://i1.hdslb.com/bfs/face/5f56b604dd7b50d29ef104a9e58db51c1e091ee3.jpg
29,293810606417,296295041808,1882954643,不会取名的大包子,6,男,回复 @英国大龙虾 :但问题是咱们也不去国外啊，国内就是外企待遇更好,2026-03-22 04:55:05,0,0,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
30,293191167569,293865858161,1653186158,取名字真难ccccccc,5,保密,回复 @还是积极性太高了 :你才社畜这个词从哪个国家传来的？上个世纪90年代这个词就在日本出现了[笑哭],2026-03-22 14:10:58,0,1,,河南,是,https://i2.hdslb.com/bfs/face/e722473c910353885871c2fd11744fd858a0b4ba.jpg
31,293865858161,293866857025,426326450,还是积极性太高了,6,保密,回复 @取名字真难ccccccc : 但确实比现在的中国电子厂强了很多,2026-03-22 14:21:56,0,0,无,广东,否,https://i2.hdslb.com/bfs/face/9a75632d9f20bde100d19e16294812949fd170cd.jpg
32,293865858161,296454685392,670323301,林可南子,5,保密,回复 @取名字真难ccccccc :日本就是猝死率太高现在整治了，鼓励大家不加班回家造娃，中国以后应该也会整治的，但国情还是有差异，日本劳动力稀缺,2026-03-23 14:02:37,0,0,,广东,否,https://i1.hdslb.com/bfs/face/6f3e95cd762c6f109325365239fc81d95d2f4f21.jpg
33,295531083712,294007551953,3706929402611794,电力电子曼波,2,男,回复 @开心小哈巴 :因为薪资不高，外企在海外的都是不核心的东西，主要是业务方面而不是技术方面。在他们本国技术方面的工作就要累了，但薪资高。,2026-03-24 05:04:39,0,0,一只分享电力电子技术的曼波。,安徽,否,https://i1.hdslb.com/bfs/face/420996b5e9844f7f70dc80bc5ba3fc2838af6b9b.jpg
34,295404685120,296518219072,1423528507,会叠Q的二哈,5,保密,中国的外企是这样的，你去海外你会发现人家不比国内轻松。我遇见过一周上5天每周六居家办公的。你问不还是有周日么？周日要做礼拜的哥们。,2026-03-24 07:28:07,0,1,,江苏,否,https://i1.hdslb.com/bfs/face/bb20b2fab5db961c34bd7954fdb0a6b643e20472.jpg
35,296518219072,296525902736,1882954643,不会取名的大包子,6,男,回复 @会叠Q的二哈 :反正讨论范围也只是国内嘛，我也不太可能跑到国外去上班,2026-03-24 09:09:54,0,0,这个用户很懒，什么都没有留下,河北,是,https://i2.hdslb.com/bfs/face/021a39560ce350f36a1c229b76fb76f17d63da7b.jpg
36,295729938720,294215482401,677557291,bili_677557291,5,保密,回复 @不会取名的大包子 :外企一定得不是本地的[滑稽],2026-03-26 08:32:25,0,0,,江苏,否,https://i1.hdslb.com/bfs/face/70b5ac51587f0afd38122bc3a495c485301203ba.jpg
37,0,293243585937,309938889,落日蓝,6,保密,咋找到实习的啊，我投了一堆外企是一个都不回我，我就一个普通一本难道连实习都这么卷吗,2026-03-16 09:38:59,16,120,,山西,否,https://i0.hdslb.com/bfs/face/43fbd9268cd24c0be6c866095ab65de098a17770.jpg
38,293243585937,293247126737,7192492,闪电丶教主,6,男,实习现在也卷。大厂也只看学历啥的。,2026-03-16 10:17:39,0,65,,湖南,否,https://i1.hdslb.com/bfs/face/7e488977d15c00a8fad1b9c8a363448f63bb167b.jpg
39,293243585937,293274782033,407326681,田中雫,6,保密,你光一个一本没用，要看你有什么证书的[花丸晴琉_对不起],2026-03-16 15:04:59,0,27,前漢化組漫画嵌字と搬運工~教主激推人，喜欢旅游！,上海,是,https://i1.hdslb.com/bfs/face/e63eb07b12f0ac7a6547f6d8f236aedd419aab57.jpg
40,293243585937,295717849008,481080224,jaaaason-,6,保密,up是上交的（），如果是普通一本建议可以认真准备打打你专业相关的真正有含金量的比赛（电赛，数学建模，CTF，数竞之类的）。如果你愿意费时间，现在有AI，还有那么多资源，不一定比985的学生搞得差）有竞赛成绩打底优势会大很多,2026-03-16 15:23:28,0,222,,广东,是,https://i2.hdslb.com/bfs/face/dbb426f4d7af337521ecc3d8423c254f0d091315.jpg
41,293243585937,295791382848,44638617,清梦共长天,6,保密,单只有一本的话，视频里的这些基本无缘。到boss上找一些小点的公司看看吧,2026-03-17 11:01:45,0,31,,江苏,否,https://i0.hdslb.com/bfs/face/59be77e55911edf3d9fcbb0adc405f93ca640a16.jpg
42,293274782033,293365665265,40625197,蝴蝶之梦丶,6,男,回复 @田中雫 :对cs来说证书不是毛用没有，太看垂直领域的造化了,2026-03-17 14:41:33,0,3,むかしむかしのきょうのぼく,上海,是,https://i1.hdslb.com/bfs/face/c2ea9a0dbe30360ebb056441eb86717e9eac9123.jpg
43,293243585937,295982635232,1976617808,aidndmkeis,5,男,技术栈不对口呗，而且你普通一本确实没啥竞争力[笑哭],2026-03-19 08:49:05,0,22,,江苏,否,https://i2.hdslb.com/bfs/face/3b511061053ad341b8d608e3e60235b3faa9fc5e.jpg
44,293243585937,295988014576,44754443,日婆发专啊啊啊,6,保密,不然呢,2026-03-19 09:52:17,0,7,如果你一定要犯贱，我只能说lj游戏or人别来碰瓷，被你提到我都觉得掉价,越南,否,https://i2.hdslb.com/bfs/face/2ef54d1053a071f7ed591a6d52e865472bf0ea54.jpg
45,293243585937,296024656016,268889401,好名字全被狗占了吧,6,男,想啥呢，外企普遍卡9，上面那些更是卡c9,2026-03-19 15:59:10,0,28,没话说,陕西,否,https://i1.hdslb.com/bfs/face/4e30c00a1c1172692b2a0dad4678c528d2984819.jpg
46,293243585937,293701618465,37733054,-奥卡姆剃刀,6,保密,你多大了 就业市场什么环境一点都不知道吗,2026-03-21 05:40:31,0,14,青山一道同云雨，明月何曾是两乡,上海,是,https://i2.hdslb.com/bfs/face/05309446d437b743cd35a6e6cf83f7cae18ac6a9.jpg
47,293243585937,296219542432,285803237,穗霁映虹,6,男,别一本了，92没项目实习也是被刷的份,2026-03-21 12:28:22,0,12,,江苏,否,https://i2.hdslb.com/bfs/face/1b78e16e342ce4649c64e3c6d1132b1e2867ea15.jpg
48,293243585937,296242788480,474396214,_零雾,5,保密,想找实习尤其是大厂实习 前提是你有实习经历 这就是很无语的一个地方,2026-03-21 15:38:30,0,6,,山西,否,https://i1.hdslb.com/bfs/face/ad9fea7b301ced506dc06feb03077b5b0c0d0aa4.jpg
49,293243585937,296294670400,1628438,晚星Ryo,6,保密,[笑哭]你最后一句不是已经说明原因了吗,2026-03-22 04:52:04,0,7,夜夜喵歌~,福建,是,https://i2.hdslb.com/bfs/face/8396519965c30121add77a1fd08a0f29d0026c0b.jpg
50,293243585937,293811798625,3546730251422062,ThermopylaeY,3,保密,你这个学历毫无竞争力呀,2026-03-22 05:00:09,0,3,,福建,否,https://i1.hdslb.com/bfs/face/1c88b1e6ec6f12cf9f33161c11f18077aaae012c.jpg
51,293243585937,293849180145,4754166,Cosecant233,6,男,外企连985本都不怎么鸟，211以上的硕才看一看,2026-03-22 11:27:16,0,4,人类的痛苦，本质上是对自己无能的愤怒。,广东,否,https://i0.hdslb.com/bfs/face/256444fdf072d804fd2ec96230eb999b319142c0.jpg
52,293243585937,296702365984,4975504,沙月さん,6,男,学历，经历至少要一个，还有一点机会。但是外边一堆是两个都有的，拿头比[笑哭]。能进国内大厂实习就已经很好了。,2026-03-26 03:04:03,0,0,学业与工作关系视频制作退坑，视频因音乐版权问题已经全部下架,广东,是,https://i1.hdslb.com/bfs/face/69ac443cd70163e4c37706fe76efe8cf9489e827.jpg
53,293243585937,296716523024,285684927,叶徽_,6,男,你这不是废话吗，就是卷，普通一本没比赛就是没用,2026-03-26 05:36:56,0,0,,宁夏,否,http://i1.hdslb.com/bfs/face/8aed0827c5e8e7916eeb3b3d5cc7e2525bb823fc.jpg
54,0,296686786928,411020833,涵清欢大师,6,男,"每次走内地的实习计划都是没工资的，交5500保证金，你早退一天还得扣500，当年大一找不到实习就去报了这些内地实习计划，当时投了腾讯中银东亚中国银河证券和湘财，最后去了中国银河，每天只有几十块钱的饭补。干了50天回香港才拿到5500退回的保证金。虽然说给你提供酒店住宿跟来回机票，但感觉还是太坑了，我朋友去腾讯和美团的连补贴都没。
我今年直接能报JPMorgan跟汇丰跟花旗的了，再不济去富途证券。打死不报这个内地实习计划，一个叫祖苗计划另一个是政府的民青局内地实习计划，坑的要死。",2026-03-25 21:32:18,0,5,。。。,中国香港,是,https://i1.hdslb.com/bfs/face/b5c67af1666e0870fb18a5945c915d7137bc8b12.jpg
55,0,292064017793,424134584,沁凉的夜,5,保密,可以问下up是本科还是研究生吗？我现在大三下还没有实习，然后最近一直在想是先找个实习还是直接考研，而且我是末9，唉[大哭][大哭],2026-03-04 08:51:00,39,116,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
56,292064017793,294521811664,523054837,青羽微伤,6,男,你技术怎么样啊 技术好直接冲秋招 技术不好上研究生缓冲,2026-03-05 09:31:51,0,40,do whatever you want,天津,否,https://i1.hdslb.com/bfs/face/7563ba1e6c99e0e9cd930f008f3bbd29f749cd89.jpg
57,294521811664,292163175873,424134584,沁凉的夜,5,保密,回复 @青羽微伤 :技术不太好的，就是按部就班的学的，我院课程设置很多都是背书课实验大多儿戏，所以真不太行，主要没做过啥项目，leetcode这些也是刷的不多，基本就是一个完蛋的状态，所以在想要不要考个研延迟就业，但是又怕最后下岸错过秋招，直接一个人生大寄特寄,2026-03-05 09:43:20,0,30,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
58,292163175873,294522980960,523054837,青羽微伤,6,男,回复 @沁凉的夜 :要不然你就冲考研 要不就申请个一年硕提升技术 刚好9本也够过简历关了,2026-03-05 09:44:32,0,12,do whatever you want,天津,否,https://i1.hdslb.com/bfs/face/7563ba1e6c99e0e9cd930f008f3bbd29f749cd89.jpg
59,294522980960,292164425473,424134584,沁凉的夜,5,保密,回复 @青羽微伤 :一年硕士是那种国外或者香港的吗？我家庭条件可能不太支持[大哭][大哭],2026-03-05 09:56:55,0,3,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
60,292164425473,294571786848,85749545,fickmfg,6,保密,回复 @沁凉的夜 :香港新加坡最便宜性价比最高，但是今年msc费用猛涨，hku工科光学费也得375000hkd，ust和cuhk还有新二两所能便宜些。你要是末9计算机均分有个85+，实习和科研都不拖后腿的情况下把语言考出来能申个不错的项目。,2026-03-05 19:00:30,0,14,,山东,是,https://i2.hdslb.com/bfs/face/d5cd3ece8b26f3687d74bece612f7e1ec5fe50d9.jpg
61,292164425473,294571873792,85749545,fickmfg,6,保密,回复 @沁凉的夜 :再或者考研也行，还是得读个不低于本科档次的硕，起码简历关都稳稳过定薪也高些，找到工作后慢慢刷经验和履历就好些。,2026-03-05 19:04:05,0,1,,山东,是,https://i2.hdslb.com/bfs/face/d5cd3ece8b26f3687d74bece612f7e1ec5fe50d9.jpg
62,294571786848,292209844161,424134584,沁凉的夜,5,保密,回复 @fickmfg :均分有88但是绩点和排名都不算高，现在没给前五学期的排名感觉大概是30%到45%左右，主要真的是穷逼，其实港硕和出国从来不在考虑范围内[笑哭][笑哭],2026-03-05 19:08:24,0,1,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
63,294571873792,292209890145,424134584,沁凉的夜,5,保密,回复 @fickmfg :是有点想这样的，感觉技术力和钱都不够的情况下还是考个研比较稳妥。只是再往上考感觉就是c9华五这些，但是好热啊被今年分数狠狠吓退[大哭][大哭]很担心万一考不上咋办，但是综合下来感觉最后还是会走这条路的。,2026-03-05 19:14:09,0,1,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
64,292209890145,294572331552,85749545,fickmfg,6,保密,回复 @沁凉的夜 :保不上就考吧，考不上再次也是个985，实习还是会有人要的。考上后套瓷个宽松的导师方便你刷实习，别被邪恶老头抓去疯狂压榨做横向爆金币浪费时间。其实有个985本容错率已经很高了。,2026-03-05 19:18:47,0,18,,山东,是,https://i2.hdslb.com/bfs/face/d5cd3ece8b26f3687d74bece612f7e1ec5fe50d9.jpg
65,294572331552,292210201249,424134584,沁凉的夜,5,保密,回复 @fickmfg :嗯，谢谢，希望能有个好去处吧[难过][难过],2026-03-05 19:25:57,0,0,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
66,292164425473,294791050368,111931246,--Devin--,6,保密,别听他的一年硕等于玩一年家里没钱不要去了，没提升的,2026-03-07 17:07:03,0,11,,中国香港,否,https://i1.hdslb.com/bfs/face/3905169012e6b385bc999187fd67194fd73b3430.jpg
67,294791050368,292442031393,424134584,沁凉的夜,5,保密,回复 @--Devin-- :好的，其实这个也不在计划内的[笑哭][笑哭],2026-03-08 03:21:49,0,0,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
68,292064017793,292553021329,1302511965,影子军主,5,男,会不会用ai,2026-03-09 05:19:53,0,0,,广东,是,https://i0.hdslb.com/bfs/face/ca51584dbfc8e90b9cb65b4ab7fe61f1a9f51408.jpg
69,292442031393,292553106385,1302511965,影子军主,5,男,回复 @沁凉的夜 : 不要考研，计算机宁愿工作也不要考研，大不了你去报培训班,2026-03-09 05:20:50,0,3,,广东,是,https://i0.hdslb.com/bfs/face/ca51584dbfc8e90b9cb65b4ab7fe61f1a9f51408.jpg
70,292553106385,292554075105,424134584,沁凉的夜,5,保密,回复 @影子军主 :开始刷题看看能不能整个暑假实习，也是想去实习看看的，没法子了就去考研。只怕到最后哪条路都没让我走通直接快进到人生毁于一旦[笑哭],2026-03-09 05:34:32,0,0,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
71,292210201249,295029064800,433334326,Tamaneko_,6,女,回复 @沁凉的夜 : 港三除了hku，30w应该能读下来，cs专业的话用30w买两年时间还是很值的，不过计算机挺卷的，具体bar有多高我不太了解，末9均分88我认为值得一试[魔女的夜宴表情包_倒茶],2026-03-10 04:13:10,0,0,我柯某只想过平静的生活,陕西,否,https://i1.hdslb.com/bfs/face/d4faed881a35a9edbeef2ac3460be432a60a5e9e.jpg
